authors,category,parent_category,title,description,image_url,price,pages,publisher,date_string,dimensions,main_category
"Walter Isaacson,Dylan Baker",Business & Industry Biographies,Biographies,Steve Jobs,"Walter Isaacson tells the story of the rollercoaster life and searingly intense personality of creative entrepreneur whose passion for perfection and ferocious drive revolutionized six industries: personal computers, animated movies, music, phones, tablet computing, and digital publishing.  Although Jobs cooperated with this book, he asked for no control over what was written, nor even the right to read it before it was published. He put nothing off limits. He encouraged the people he knew to speak honestly. And Jobs speaks candidly, sometimes brutally so, about the people he worked with and competed against.   ",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780349140438/steve-jobs.jpg,19.25,592,"Little, Brown Book Group",2015-01-27,21.0 x 15.0 x 2.2,Computer Hardware
Mike Meyers,Computer Certification for CompTia,Computer Certification,"Comptia A+ Certification All-in-One Exam Guide, Ninth Edition (Exams 220-901 & 220-902)","Michael Meyers, A+, Network+ (Houston, TX) is the industry’s leading authority on A+ certification. He is the president and founder of Total Seminars, LLC, a major provider of PC and network repair seminars for organizations and government agencies throughout the world, including the FBI, FAA, and the United Nations. He is author of Mike Meyers’ A+ Guide to Managing and Troubleshooting PCs and Mike Meyers’ Network+ Guide to Managing and Troubleshooting Networks.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781259589515/comptia-a-certification-all-in-one-exam-guide-ninth-edition-exams-220-901-220-902-.jpg,52.75,1632,McGraw-Hill Education - Europe,2015-12-22,23.4 x 19.6 x 6.2,Computer Hardware
John Nussey,Digital Lifestyle,Computing,Arduino For Dummies,"This is no ordinary circuit board. Arduino allows anyone, whether you're an artist, designer, programmer or hobbyist, to learn about and play with electronics. Through this book you learn how to build a variety of circuits that can sense or control things in the real world. Maybe you'll prototype your own product or create a piece of interactive artwork? This book equips you with everything you'll need to build your own Arduino project, but what you make is up to you! If you're ready to bring your ideas into the real world or are curious about the possibilities, this book is for you",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781118446379/arduino-for-dummies.jpg,29.25,446,John Wiley & Sons Inc,2013-05-23,23.5 x 18.6 x 2.4,Computer Hardware
Lyssa Adkins,Software Engineering,Computer Programming & Software Development,Coaching Agile Teams,"Lyssa Adkins has taught Scrum to hundreds of students, coached many agile teams, and served as master coach to many apprentice coaches since 2004. Coaching coaches one-on-one and in small groups, she enjoys a front-row seat as remarkable agile coaches emerge and go on to entice the very best from the teams they coach. Prior to agile, Adkins had more than fifteen years of expertise leading project teams and groups of project managers in large and small consulting firms, commercial software companies, and the Fortune 500, yet nothing prepared her for the power of agile done simply and well. She teaches the “Coaching Agile Teams” training course, which allows agile coaches to learn, practice, and deepen the skills and mind-sets offered in the book.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780321637703/coaching-agile-teams.jpg,49.9,352,Pearson Education (US),2010-07-19,23.1 x 18.0 x 1.8,Computer Hardware
Mark L. Chambers,Computer Hardware,Computing & I.T.,"Macbook for Dummies, 7th Edition","Get the most out of your MacBook Your new MacBook is sleek and powerful, and this down-to-earth guide makes it easier than ever to navigate, personalize, and maximize what it can help you accomplish. From taking it out of the box and turning it on for the first time to file storage and security, to downloading apps and working with iCloud, MacBook For Dummies helps you discover—all in one place—everything your laptop can do. Ultra-light, ultra-fast, and ultra-powerful, the MacBook is the coolest laptop around, and longtime Mac guru Mark L. Chambers is just the guy you want showing you the ropes. Inside, he shows you how to navigate the Mac desktop, customize your settings, surf the web and set up email, hook into a network, transfer your important documents from another PC or Mac, and troubleshoot with ease. You'll also get the inside scoop on the fun stuff like FaceTime video calling, Messages, Reminders, photos, videos, music, the Mac App Store, and more.  Explore the new OS X Be productive with Keynote and Pages Get creative with Photos and iMovie Find tips for maintenance and security  Whether you're a PC convert or a seasoned Apple enthusiast, this book helps you get the most of your magnificent MacBook!",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781119417255/macbook-for-dummies-7th-edition.jpg,27.75,432,John Wiley & Sons Inc,2017-11-17,23.5 x 19.0 x 2.0,Computer Hardware
Monk,Electronics & Communications Engineering,Engineering & Technology,Programming Arduino,"A fully updated guide to quickly and easily programming Arduino Thoroughly revised for the new Arduino Uno R3, this bestselling guide explains how to write well-crafted sketches using Arduino's modified C language. You will learn how to configure hardware and software, develop your own sketches, work with built-in and custom Arduino libraries, and explore the Internet of Things-all with no prior programming experience required! Electronics guru Simon Monk gets you up to speed quickly, teaching all concepts and syntax through simple language and clear instruction designed for absolute beginners. Programming Arduino: Getting Started with Sketches, Second Edition, features dozens of easy-to-follow examples and high-quality illustrations. All of the sample sketches featured in the book can be used as-is or modified to suit your needs. An all-new chapter teaches programming Arduino for Internet of Things projects Screenshots, diagrams, and source code illustrate each technique All sample programs in the book are available for download",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781259641633/programming-arduino.jpg,18.75,208,McGraw-Hill Education - Europe,2016-06-29,23.0 x 15.2 x 1.0,Computer Hardware
Mark L. Chambers,Computer Hardware,Computing & I.T.,IMAC For Dummies,"Trusted Mac expert and bestselling author Mark L. Chambers guides you through the latest iMac features and the next generation iMac hardware, the newest version of OS X, productivity apps, the latest trends and tools in the market, and so much more. Whether you want to back up your photos and data on iCloud, add apps from the Mac App Store, or get creative with applications, iMac For Dummies shows you how to do it all.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781119241546/imac-for-dummies.jpg,27.75,432,John Wiley & Sons Inc,2016-04-26,23.5 x 19.0 x 2.0,Computer Hardware
Andy Rathbone,Computer Hardware,Computing & I.T.,"Windows 10 for Dummies, 2nd Edition","Get productive with Windows 10 Windows 10 For Dummies is the all-time bestselling computer how-to book—and it's been fully updated for the enhancements coming with the Windows 10 Anniversary Update! Free of confusing jargon and packed with lots of helpful step-by-step explanations, it quickly gets you started with exploring the Start menu, storing files on the Cloud, creating desktop shortcuts, connecting to a printer, using Windows social apps, organizing digital photos, interpreting error messages, and so much more. Windows 10 keeps your PC or tablet running, organizes your files, and provides a platform to run your important applications. In short, it's the brain and heart of your computer. The simple steps and friendly advice inside help you manage files and applications, connect to the Internet, customize your Windows experience, and make repairs when things go haywire.  Fast answers to Windows 10 questions Steps for customizing your Windows 10 PC Tips for solving common Windows problems Covers using Windows 10 on a tablet  If you're new to Windows or upgrading to its new operating system, grab this book to get to know Windows 10 a little better.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781119311041/windows-10-for-dummies-2nd-edition.jpg,27.75,456,John Wiley & Sons Inc,2016-08-15,23.5 x 18.7 x 2.0,Computer Hardware
Peter Weverka,Computer Hardware,Computing & I.T.,"Windows 10 for Seniors for Dummies, 2nd Edition","The stress-free way to get up and running with Windows 10 If you're a first-time, over-50 Windows user looking for an authoritative, easy-to-follow guide to the basics of this new operating system, look no further. This no-nonsense book cuts through confusing jargon and covers just what you need to know, providing lots of helpful figures along the way! Whether you're upgrading to the new Windows 10 operating system with the hopes of keeping in touch with loved ones via webcam or social media, or simply want to make your life more organized and streamlined, all the help you need to make the most of Windows 10 is at your fingertips. You'll find out how to navigate the interface with a mouse or touchscreen, manage printers and other external devices, store files in the Cloud, send and receive email, listen to music, and so much more.  Customize the desktop and set up a simple network Connect with family and friends online Protect your data, your computer, and your identity Learn faster and easier with the help of large-print text  There's no easier way to get up and running on the new Windows operating system than with Windows 10 For Seniors For Dummies.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781119310617/windows-10-for-seniors-for-dummies-2nd-edition.jpg,27.75,312,John Wiley & Sons Inc,2016-08-19,23.5 x 19.0 x 1.5,Computer Hardware
Andy Rathbone,Computer Hardware,Computing & I.T.,Windows 10 for Dummies Book + Online Videos Bundle,"Not sure where to begin with Windows 10? Start here! Windows 10 For Dummies Book + Online Videos Bundle offers a complete solution to your Windows 10 learning needs. The bundle delivers a copy of the bestselling Windows 10 For Dummies book along with access to an online training course featuring three hours of online video instruction. Together, the package explains and demonstrates how to navigate the interface with a mouse or touchscreen, rearrange windows, store files, enhance Windows with applications, connect to the Internet, consolidate contact information, protect your privacy and security, customize the look of Windows, add user accounts, explore entertainment, and troubleshoot common problems.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781119049326/windows-10-for-dummies-book-online-videos-bundle.jpg,30.75,432,John Wiley & Sons Inc,2015-10-16,23.5 x 19.0 x 2.0,Computer Hardware
